Time: Mar10 16:02 25 Level: 0 Context: LoadDefinitions Text: Loaded file attackers/attackerDefinition.txt
Time: Mar10 16:02 25 Level: 0 Context: LoadDefinitions Text: Loaded file towers/towerDefinition.txt
Time: Mar10 16:02 25 Level: 0 Context: Map.cpp Text: Map::readMap: Map loaded successfully
Time: Mar10 16:04 25 Level: 0 Context: LoadDefinitions Text: Loaded file attackers/attackerDefinition.txt
Time: Mar10 16:04 25 Level: 0 Context: LoadDefinitions Text: Loaded file towers/towerDefinition.txt
Time: Mar10 16:04 25 Level: 0 Context: Map.cpp Text: Map::readMap: Map loaded successfully
Time: Mar10 16:05 25 Level: 0 Context: LoadDefinitions Text: Loaded file attackers/attackerDefinition.txt
Time: Mar10 16:05 25 Level: 0 Context: LoadDefinitions Text: Loaded file towers/towerDefinition.txt
Time: Mar10 16:05 25 Level: 0 Context: Map.cpp Text: Map::readMap: Map loaded successfully
Time: Mar10 16:06 25 Level: 0 Context: LoadDefinitions Text: Loaded file attackers/attackerDefinition.txt
Time: Mar10 16:06 25 Level: 0 Context: LoadDefinitions Text: Loaded file towers/towerDefinition.txt
Time: Mar10 16:06 25 Level: 0 Context: Map.cpp Text: Map::readMap: Map loaded successfully
Time: Mar10 16:07 25 Level: 0 Context: LoadDefinitions Text: Loaded file attackers/attackerDefinition.txt
Time: Mar10 16:07 25 Level: 0 Context: LoadDefinitions Text: Loaded file towers/towerDefinition.txt
Time: Mar10 16:07 25 Level: 0 Context: Map.cpp Text: Map::readMap: Map loaded successfully
Time: Mar10 16:09 25 Level: 0 Context: LoadDefinitions Text: Loaded file attackers/attackerDefinition.txt
Time: Mar10 16:09 25 Level: 0 Context: LoadDefinitions Text: Loaded file towers/towerDefinition.txt
Time: Mar10 16:09 25 Level: 0 Context: Map.cpp Text: Map::readMap: Map loaded successfully
Time: Mar10 16:10 25 Level: 0 Context: LoadDefinitions Text: Loaded file attackers/attackerDefinition.txt
Time: Mar10 16:10 25 Level: 0 Context: LoadDefinitions Text: Loaded file towers/towerDefinition.txt
Time: Mar10 16:10 25 Level: 0 Context: Map.cpp Text: Map::readMap: Map loaded successfully
Time: Mar10 16:46 25 Level: 0 Context: LoadDefinitions Text: Loaded file attackers/attackerDefinition.txt
Time: Mar10 16:46 25 Level: 0 Context: LoadDefinitions Text: Loaded file towers/towerDefinition.txt
Time: Mar10 16:46 25 Level: 0 Context: Map.cpp Text: Map::readMap: Map loaded successfully
Time: Mar10 16:49 25 Level: 0 Context: LoadDefinitions Text: Loaded file attackers/attackerDefinition.txt
Time: Mar10 16:49 25 Level: 0 Context: LoadDefinitions Text: Loaded file towers/towerDefinition.txt
Time: Mar10 16:49 25 Level: 0 Context: Map.cpp Text: Map::readMap: Map loaded successfully
Time: Mar10 16:57 25 Level: 0 Context: LoadDefinitions Text: Loaded file attackers/attackerDefinition.txt
Time: Mar10 16:57 25 Level: 0 Context: LoadDefinitions Text: Loaded file towers/towerDefinition.txt
Time: Mar10 16:57 25 Level: 0 Context: Map.cpp Text: Map::readMap: Map loaded successfully
Time: Mar10 16:57 25 Level: 0 Context: LoadDefinitions Text: Loaded file attackers/attackerDefinition.txt
Time: Mar10 16:57 25 Level: 0 Context: LoadDefinitions Text: Loaded file towers/towerDefinition.txt
Time: Mar10 16:57 25 Level: 0 Context: Map.cpp Text: Map::readMap: Map loaded successfully
Time: Mar10 16:57 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:0
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:0
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:0
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:0
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:0
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:0
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:0
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:0
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:2
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:2
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:2
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:1
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:2
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:1
